Ticker,mention_count,avg_sentiment,total_sentiment
EZPW,1,1.0,1
ECYT,1,-1.0,-1
EE,1,1.0,1
EFC,1,1.0,1
INAP,1,1.0,1
INFA,1,-1.0,-1
ESI,1,1.0,1
EGY,1,1.0,1
EL,1,1.0,1
BDC,1,1.0,1
BMS,1,-1.0,-1
BDN,1,1.0,1
BEBE,1,1.0,1
BGMD,1,1.0,1
ENB,1,1.0,1
ENDP,1,1.0,1
ENI,1,1.0,1
SJM,1,1.0,1
SJW,1,1.0,1
SKIS,1,-1.0,-1
BGS,1,1.0,1
SNE,1,-1.0,-1
BCH,1,1.0,1
BCO,1,1.0,1
BDBD,1,-1.0,-1
SOUP,1,1.0,1
STXS,1,-1.0,-1
SUP,1,1.0,1
SVU,1,1.0,1
SPPI,1,1.0,1
SQI,1,-1.0,-1
SSI,1,1.0,1
SSN,1,1.0,1
BBVA,1,-1.0,-1
BCC,1,1.0,1
SSS,1,1.0,1
SSTK,1,-1.0,-1
SSW,1,1.0,1
BMY,1,1.0,1
BOFI,1,1.0,1
SOFT,1,1.0,1
AWI,1,1.0,1
AXAS,1,-1.0,-1
AXDX,1,-1.0,-1
SPA,1,1.0,1
AXS,1,-1.0,-1
BAS,1,1.0,1
BAX,1,1.0,1
BBT,1,1.0,1
FBC,1,1.0,1
FCF,1,1.0,1
ESP,1,-1.0,-1
ESRX,1,1.0,1
AVAV,1,1.0,1
AVNW,1,1.0,1
AVP,1,1.0,1
AVY,1,1.0,1
GMED,1,1.0,1
GNMK,1,1.0,1
GOVX,1,1.0,1
THC,1,1.0,1
TITN,1,-1.0,-1
TK,1,1.0,1
TKC,1,1.0,1
AMCX,1,1.0,1
GES,1,-1.0,-1
GF,1,1.0,1
GFF,1,1.0,1
GFI,1,1.0,1
GGP,1,1.0,1
ACHC,1,1.0,1
GIG,1,1.0,1
GMAN,1,-1.0,-1
ACHN,1,1.0,1
AFG,1,-1.0,-1
AFSI,1,-1.0,-1
YZC,1,1.0,1
ACCO,1,-1.0,-1
FTD,1,1.0,1
GATA,1,-1.0,-1
WYN,1,1.0,1
AGIN,1,1.0,1
WIFI,1,1.0,1
ADTN,1,-1.0,-1
AEM,1,1.0,1
AEO,1,1.0,1
AEZS,1,1.0,1
WOOF,1,-1.0,-1
WPC,1,-1.0,-1
XRAY,1,1.0,1
TMH,1,-1.0,-1
TMO,1,1.0,1
ZAZA,1,1.0,1
ABMD,1,1.0,1
NC,1,1.0,1
NEOG,1,1.0,1
NEV,1,1.0,1
ZMH,1,1.0,1
ABC,1,1.0,1
ABBV,1,1.0,1
WD,1,-1.0,-1
WEB,1,1.0,1
WEC,1,1.0,1
WYY,1,1.0,1
XOMA,1,1.0,1
WSM,1,1.0,1
WETF,1,1.0,1
WF,1,1.0,1
WG,1,-1.0,-1
WGO,1,1.0,1
VRNG,1,1.0,1
VSAT,1,1.0,1
WAGE,1,1.0,1
AMGN,1,1.0,1
AMP,1,1.0,1
AMS,1,-1.0,-1
AMSC,1,1.0,1
WAT,1,1.0,1
WB,1,1.0,1
VNO,1,-1.0,-1
VOXX,1,1.0,1
